run,model,split,gen_time
19,CWGAN,Y1,0.2130434000000605
19,CWGAN,Y2,0.2950928000000203
19,Diffusion,Y1,0.8395614999999452
19,Diffusion,Y2,0.8363707999997132
19,RectFlow,Y1,0.774984300000142
19,RectFlow,Y2,0.7868761999998242
20,CWGAN,Y1,0.1998153000004094
20,CWGAN,Y2,0.1618192999994789
20,Diffusion,Y1,0.8412758999993457
20,Diffusion,Y2,0.8447620999995706
20,RectFlow,Y1,0.7803896000004897
20,RectFlow,Y2,0.7617154999998093
21,CWGAN,Y1,0.2165301000004547
21,CWGAN,Y2,0.2167921000000205
21,Diffusion,Y1,0.8503375000000233
21,Diffusion,Y2,0.8478455999993457
21,RectFlow,Y1,0.7696826999999757
21,RectFlow,Y2,0.7572083999993993
22,CWGAN,Y1,0.2403592000000571
22,CWGAN,Y2,0.2406221999999616
22,Diffusion,Y1,0.8412984999995388
22,Diffusion,Y2,0.8441029999994498
22,RectFlow,Y1,0.7848123999992822
22,RectFlow,Y2,0.7864276000000245
23,CWGAN,Y1,0.2442314999998416
23,CWGAN,Y2,0.2080894000000626
23,Diffusion,Y1,0.844748299999992
23,Diffusion,Y2,0.8241846000000805
23,RectFlow,Y1,0.7776748000005682
23,RectFlow,Y2,0.7685383000007278
24,CWGAN,Y1,0.226522500000101
24,CWGAN,Y2,0.1794480000007752
24,Diffusion,Y1,0.828986000000441
24,Diffusion,Y2,0.8450291999997717
24,RectFlow,Y1,0.7863847000007809
24,RectFlow,Y2,0.7776852000006329
25,CWGAN,Y1,0.1977391000000352
25,CWGAN,Y2,0.1861064000004262
25,Diffusion,Y1,0.8491964999993797
25,Diffusion,Y2,0.839766500001133
25,RectFlow,Y1,0.7745240000003832
25,RectFlow,Y2,0.7582919000014954
26,CWGAN,Y1,0.2263605999996798
26,CWGAN,Y2,0.1754614000001311
26,Diffusion,Y1,0.8141730999996071
26,Diffusion,Y2,0.8072990000000573
26,RectFlow,Y1,0.7520512999999482
26,RectFlow,Y2,0.7529384000008577
27,CWGAN,Y1,0.1668765000013081
27,CWGAN,Y2,0.1771372000002884
27,Diffusion,Y1,0.8464336000015464
27,Diffusion,Y2,0.853697500000635
27,RectFlow,Y1,0.7625647999993816
27,RectFlow,Y2,0.7713261999997485
28,CWGAN,Y1,0.240177699999549
28,CWGAN,Y2,0.2252248999993753
28,Diffusion,Y1,0.8621505999999499
28,Diffusion,Y2,0.8361467000013363
28,RectFlow,Y1,0.7652495999991515
28,RectFlow,Y2,0.7645610999989003
29,CWGAN,Y1,0.2504523000006884
29,CWGAN,Y2,0.2238426999992953
29,Diffusion,Y1,0.8264899000005244
29,Diffusion,Y2,0.8321011999996699
29,RectFlow,Y1,0.7868241000014677
29,RectFlow,Y2,0.7769616999994469
30,CWGAN,Y1,0.2128394999999727
30,CWGAN,Y2,0.178748500000438
30,Diffusion,Y1,0.8436229999988427
30,Diffusion,Y2,0.8182041000000027
30,RectFlow,Y1,0.7818727000012586
30,RectFlow,Y2,0.7735560999990412
31,CWGAN,Y1,0.2285422000004473
31,CWGAN,Y2,0.1663745000005292
31,Diffusion,Y1,0.8416909999996278
31,Diffusion,Y2,0.8355938000004244
31,RectFlow,Y1,0.7759315999992396
31,RectFlow,Y2,0.7779797000002873
32,CWGAN,Y1,0.2106165999994118
32,CWGAN,Y2,0.2012759000008372
32,Diffusion,Y1,0.8365092999993067
32,Diffusion,Y2,0.8534595000000991
32,RectFlow,Y1,0.7750983000005363
32,RectFlow,Y2,0.7729552999990119
33,CWGAN,Y1,0.2253831999987596
33,CWGAN,Y2,0.2073698999993212
33,Diffusion,Y1,0.8287645000000339
33,Diffusion,Y2,0.8290827000000718
33,RectFlow,Y1,0.7751982000008866
33,RectFlow,Y2,0.7926396000002569
34,CWGAN,Y1,0.2539484999997512
34,CWGAN,Y2,0.2374383999995188
34,Diffusion,Y1,0.8376070000012987
34,Diffusion,Y2,0.8485711000012088
34,RectFlow,Y1,0.7745463999999629
34,RectFlow,Y2,0.7710929999993823
35,CWGAN,Y1,0.2319720999985293
35,CWGAN,Y2,0.2145775999997567
35,Diffusion,Y1,0.8389111000014964
35,Diffusion,Y2,0.9051842000008036
35,RectFlow,Y1,0.7894047000008868
35,RectFlow,Y2,0.7634877000000415
36,CWGAN,Y1,0.2240117000001191
36,CWGAN,Y2,0.259744299999511
36,Diffusion,Y1,0.8635056000002805
36,Diffusion,Y2,0.8255947999987256
36,RectFlow,Y1,0.771097999999256
36,RectFlow,Y2,0.7866281000005984
37,CWGAN,Y1,0.2121193000002676
37,CWGAN,Y2,0.1719718000003922
37,Diffusion,Y1,0.8285469000002195
37,Diffusion,Y2,0.8508899999997084
37,RectFlow,Y1,0.7662939000001643
37,RectFlow,Y2,0.7716610999996192
38,CWGAN,Y1,0.2260401000003185
38,CWGAN,Y2,0.1968299000000115
38,Diffusion,Y1,0.9147561999998288
38,Diffusion,Y2,0.8129774000008183
38,RectFlow,Y1,0.7615025999984937
38,RectFlow,Y2,0.7641064999988885
39,CWGAN,Y1,0.2143425999984174
39,CWGAN,Y2,0.2127593000004708
39,Diffusion,Y1,0.8326947999994445
39,Diffusion,Y2,0.8236677999993844
39,RectFlow,Y1,0.7693059000011999
39,RectFlow,Y2,0.7768008000002737
40,CWGAN,Y1,0.2223319000004266
40,CWGAN,Y2,0.366185900000346
40,Diffusion,Y1,0.8244628999982524
40,Diffusion,Y2,0.8484786000008171
40,RectFlow,Y1,0.7638145000000804
40,RectFlow,Y2,0.7772514000007504
41,CWGAN,Y1,0.2180464000011852
41,CWGAN,Y2,0.1782626000003802
41,Diffusion,Y1,0.8190856999990501
41,Diffusion,Y2,0.8442157000008592
41,RectFlow,Y1,0.7827128000008088
41,RectFlow,Y2,0.7614446000006865
42,CWGAN,Y1,0.2475842000003467
42,CWGAN,Y2,0.2306305000001884
42,Diffusion,Y1,0.8434837999993761
42,Diffusion,Y2,0.8406900000009045
42,RectFlow,Y1,0.7901003999995737
42,RectFlow,Y2,0.7653147999990324
43,CWGAN,Y1,0.2355067999997118
43,CWGAN,Y2,0.2280565000000933
43,Diffusion,Y1,0.8273939000009705
43,Diffusion,Y2,0.8293886999999813
43,RectFlow,Y1,0.7907797000007122
43,RectFlow,Y2,0.7674796999999671
44,CWGAN,Y1,0.2121260000003531
44,CWGAN,Y2,0.2275821999992331
44,Diffusion,Y1,0.8366912000001321
44,Diffusion,Y2,0.8152415000004112
44,RectFlow,Y1,0.7646052000000054
44,RectFlow,Y2,0.7625849999985803
45,CWGAN,Y1,0.2214564000005339
45,CWGAN,Y2,0.2208706000001257
45,Diffusion,Y1,0.8298365999999078
45,Diffusion,Y2,0.8268686999999773
45,RectFlow,Y1,0.7924103999994259
45,RectFlow,Y2,0.7893049000012979
46,CWGAN,Y1,0.2535177999998268
46,CWGAN,Y2,0.1799554999997781
46,Diffusion,Y1,0.8387954000008904
46,Diffusion,Y2,0.8242030999990675
46,RectFlow,Y1,0.778280900000027
46,RectFlow,Y2,0.7746147000016208
47,CWGAN,Y1,0.2395283000005292
47,CWGAN,Y2,0.1983675999999832
47,Diffusion,Y1,0.8333304999996471
47,Diffusion,Y2,0.8469356999994488
47,RectFlow,Y1,0.7798141999992367
47,RectFlow,Y2,0.7663992000016151
48,CWGAN,Y1,0.2100953999979538
48,CWGAN,Y2,0.1908952999983739
48,Diffusion,Y1,0.8334977000013168
48,Diffusion,Y2,0.820396899998741
48,RectFlow,Y1,0.7666052999993553
48,RectFlow,Y2,0.778972000000067
49,CWGAN,Y1,0.2507417000015266
49,CWGAN,Y2,0.1833126999990781
49,Diffusion,Y1,0.8367680000010296
49,Diffusion,Y2,0.8389622000031522
49,RectFlow,Y1,0.7623932999995304
49,RectFlow,Y2,0.769004000001587
50,CWGAN,Y1,0.2791608000006818
50,CWGAN,Y2,0.1819217999982356
50,Diffusion,Y1,0.8233352999995986
50,Diffusion,Y2,0.8440088000024843
50,RectFlow,Y1,0.7712830999989819
50,RectFlow,Y2,0.7816357000010612
51,CWGAN,Y1,0.2124838999989151
51,CWGAN,Y2,0.1954664999975648
51,Diffusion,Y1,0.856222099999286
51,Diffusion,Y2,0.8287607000020216
51,RectFlow,Y1,0.7645344999982626
51,RectFlow,Y2,0.7794127999986813
52,CWGAN,Y1,0.2306657000008272
52,CWGAN,Y2,0.2221729000011691
52,Diffusion,Y1,0.8355387999981758
52,Diffusion,Y2,0.8415427999971143
52,RectFlow,Y1,0.7784651999972994
52,RectFlow,Y2,0.7631908000003023
53,CWGAN,Y1,0.2254673000024922
53,CWGAN,Y2,0.1745101999986218
53,Diffusion,Y1,0.822348100002273
53,Diffusion,Y2,0.8637247000006028
53,RectFlow,Y1,0.7643779999998515
53,RectFlow,Y2,0.7681556999996246
54,CWGAN,Y1,0.2266410000011092
54,CWGAN,Y2,0.1956497999999555
54,Diffusion,Y1,0.8289883999968879
54,Diffusion,Y2,0.8487534999985655
